Id,ActivityDate,TotalSteps,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
6290855005,03/05/2016,6047,0,0,240,1200,2671
6775888955,03/05/2016,9,0,0,1,1439,1843
6962181067,03/05/2016,12109,21,36,267,654,2072
7007744171,03/05/2016,14510,58,31,330,1021,2976
7086361926,03/05/2016,10288,57,36,152,761,2754
8053475328,03/05/2016,15484,87,22,165,1166,3023
8378563200,03/05/2016,8712,71,20,195,822,3784
8583815059,03/05/2016,12015,0,0,0,1440,3212
8792009665,03/05/2016,2421,0,0,156,739,2297
8877689391,03/05/2016,10818,19,3,229,1189,2817
1503960366,04/05/2016,11100,36,22,203,1179,1819
1624580081,04/05/2016,2193,0,0,118,1322,1368
1644430081,04/05/2016,2309,0,0,52,1388,2222
1844505072,04/05/2016,2080,0,0,87,1353,1549
1927972279,04/05/2016,1786,0,0,87,1353,2338
2022484408,04/05/2016,11768,36,27,272,1105,2649
2026352035,04/05/2016,6564,0,0,345,530,1658
2320127002,04/05/2016,1201,0,0,52,1388,1426
2873212765,04/05/2016,8278,0,0,420,1020,2015
3977333714,04/05/2016,13559,14,96,142,852,1628
4020332650,04/05/2016,10252,13,46,346,531,3879
4319703577,04/05/2016,10429,8,13,313,1106,2282
4388161847,04/05/2016,12375,35,21,251,632,3162
4445114986,04/05/2016,2923,0,0,180,897,2070
4558609924,04/05/2016,5232,0,0,252,1188,1842
4702921684,04/05/2016,8161,4,15,251,757,3004
5553957443,04/05/2016,4249,0,0,224,651,1698
5577150313,04/05/2016,5206,25,9,141,631,2755
6117666160,04/05/2016,2997,0,0,156,1279,1902
6290855005,04/05/2016,5832,0,0,272,1168,2718
6775888955,04/05/2016,0,0,0,0,1440,1841
6962181067,04/05/2016,10147,15,36,284,683,2086
7007744171,04/05/2016,0,0,0,0,1440,1557
7086361926,04/05/2016,10988,45,12,135,843,2655
8053475328,04/05/2016,14581,89,8,123,1220,2918
8378563200,04/05/2016,7875,19,10,167,680,3110
8583815059,04/05/2016,3588,0,0,0,1440,2516
8792009665,04/05/2016,2283,0,0,129,848,2067
8877689391,04/05/2016,18193,66,8,212,1154,3477
1503960366,05/05/2016,14070,45,24,250,857,1959
1624580081,05/05/2016,2470,0,0,117,1323,1370
1644430081,05/05/2016,4363,6,12,81,1341,2463
1844505072,05/05/2016,2237,0,0,120,1320,1589
1927972279,05/05/2016,0,0,0,0,1440,2063
2022484408,05/05/2016,11895,55,20,253,1112,2609
2026352035,05/05/2016,12167,0,0,475,479,1926
2320127002,05/05/2016,5202,0,11,223,1206,1780
2873212765,05/05/2016,8314,13,23,311,1093,1971
3977333714,05/05/2016,12312,14,88,178,680,1618
4020332650,05/05/2016,11728,38,42,196,916,3429
4319703577,05/05/2016,13658,27,34,328,957,2530
4388161847,05/05/2016,9603,12,39,199,896,2899
4445114986,05/05/2016,3800,2,6,185,734,2120
4558609924,05/05/2016,10611,14,8,370,1048,2262
4702921684,05/05/2016,8614,8,5,241,745,3006
5553957443,05/05/2016,14331,44,29,241,692,2156
5577150313,05/05/2016,7550,45,21,143,1153,3004
6117666160,05/05/2016,9799,0,0,487,479,2636
6290855005,05/05/2016,6339,0,0,239,1201,2682
6775888955,05/05/2016,0,0,0,0,1440,1841
6962181067,05/05/2016,10524,14,22,305,591,2066
7007744171,05/05/2016,15010,53,23,317,1047,2933
7086361926,05/05/2016,8564,24,14,149,1253,2386
8053475328,05/05/2016,14990,93,9,130,1208,2950
8378563200,05/05/2016,8567,66,3,214,764,3783
8583815059,05/05/2016,12427,0,0,70,1370,3266
8792009665,05/05/2016,0,0,0,0,1440,1688
8877689391,05/05/2016,14055,67,15,188,1170,3052
1503960366,06/05/2016,12159,24,6,289,754,1896
1624580081,06/05/2016,1727,0,0,102,1338,1341
1644430081,06/05/2016,9787,11,6,369,1054,3328
1844505072,06/05/2016,44,0,0,2,1438,1351
1927972279,06/05/2016,2091,0,0,108,1332,2383
2022484408,06/05/2016,10227,24,17,295,1104,2498
2026352035,06/05/2016,8198,0,0,383,511,1736
2320127002,06/05/2016,4878,0,0,204,1236,1742
2873212765,06/05/2016,7063,0,5,370,1065,1910
3977333714,06/05/2016,11677,29,55,168,676,1590
4020332650,06/05/2016,4369,0,0,177,855,2704
4319703577,06/05/2016,9524,6,11,314,692,2266
4388161847,06/05/2016,13175,33,45,262,1100,3425
4445114986,06/05/2016,4514,0,0,229,809,2211
4558609924,06/05/2016,3755,0,0,202,1238,1722
4702921684,06/05/2016,6943,1,16,207,682,2859
5553957443,06/05/2016,9632,21,9,229,761,1916
5577150313,06/05/2016,4950,41,16,79,1304,2643
6117666160,06/05/2016,3365,0,0,133,673,1838
6290855005,06/05/2016,6116,0,0,305,1135,2806
6775888955,06/05/2016,4697,12,35,75,1318,2496
6962181067,06/05/2016,5908,0,0,299,717,1850
7007744171,06/05/2016,11459,44,13,247,1136,2553
7086361926,06/05/2016,12461,84,35,154,834,2924
8053475328,06/05/2016,13953,90,15,90,1245,2859
8378563200,06/05/2016,7045,74,5,166,831,3644
8583815059,06/05/2016,5843,2,22,166,1250,2683
8792009665,06/05/2016,0,0,0,0,1440,1688
8877689391,06/05/2016,21727,96,17,232,1095,4015
1503960366,07/05/2016,11992,37,46,175,833,1821
1624580081,07/05/2016,2104,0,0,182,1258,1474
1644430081,07/05/2016,13372,41,17,243,1139,3404
1844505072,07/05/2016,0,0,0,0,1440,1347
1927972279,07/05/2016,1510,0,0,48,1392,2229
2022484408,07/05/2016,6708,20,2,149,1269,1995
2026352035,07/05/2016,4193,0,0,229,665,1491
2320127002,07/05/2016,7379,0,0,319,1121,1972
2873212765,07/05/2016,4940,75,11,52,1302,1897
3977333714,07/05/2016,11550,0,86,208,703,1574
4020332650,07/05/2016,6132,0,0,184,1256,2975
4319703577,07/05/2016,7937,3,28,279,586,2158
4388161847,07/05/2016,22770,120,56,260,508,4022
4445114986,07/05/2016,5183,26,4,108,866,2123
4558609924,07/05/2016,8237,23,16,233,1116,1973
4702921684,07/05/2016,14370,5,46,439,577,3683
5553957443,07/05/2016,1868,0,0,96,902,1494
5577150313,07/05/2016,0,0,0,0,1440,1819
6117666160,07/05/2016,7336,0,0,412,456,2469
6290855005,07/05/2016,5510,0,0,227,1213,2613
6775888955,07/05/2016,1967,2,5,49,551,1032
6962181067,07/05/2016,6815,0,0,328,745,1947
7007744171,07/05/2016,0,0,0,0,111,120
7086361926,07/05/2016,12827,20,42,209,621,2739
8053475328,07/05/2016,19769,121,20,148,1076,3331
8378563200,07/05/2016,4468,0,0,158,851,2799
8583815059,07/05/2016,6117,0,0,250,1190,2810
8792009665,07/05/2016,0,0,0,0,1440,1688
8877689391,07/05/2016,12332,105,28,271,1036,4142
1503960366,08/05/2016,10060,44,8,203,574,1740
1624580081,08/05/2016,3427,0,0,152,1288,1427
1644430081,08/05/2016,6724,0,0,295,991,2987
1844505072,08/05/2016,0,0,0,0,1440,1347
1927972279,08/05/2016,0,0,0,0,1440,2063
2022484408,08/05/2016,3292,0,0,135,1305,1848
2026352035,08/05/2016,5528,0,0,258,610,1555
2320127002,08/05/2016,5161,0,0,247,1193,1821
2873212765,08/05/2016,8168,46,0,326,1068,2096
3977333714,08/05/2016,13585,9,116,171,688,1633
4020332650,08/05/2016,5862,0,0,263,775,3089
4319703577,08/05/2016,3672,0,0,153,603,1792
4388161847,08/05/2016,17298,107,38,178,576,3934
4445114986,08/05/2016,7303,0,8,308,733,2423
4558609924,08/05/2016,6543,66,35,238,1019,2666
4702921684,08/05/2016,12857,9,125,192,1019,3287
5553957443,08/05/2016,6083,3,8,210,505,1762
5577150313,08/05/2016,0,0,0,0,1440,1819
6117666160,08/05/2016,7328,0,0,318,517,2250
6290855005,08/05/2016,7706,0,0,251,1189,2712
6962181067,08/05/2016,4188,0,14,151,709,1659
7086361926,08/05/2016,10677,32,27,147,695,2534
8053475328,08/05/2016,22026,125,14,228,1073,3589
8378563200,08/05/2016,2943,0,0,139,621,2685
8583815059,08/05/2016,9217,3,72,182,1183,2940
8792009665,08/05/2016,0,0,0,0,1440,1688
8877689391,08/05/2016,10686,17,4,245,1174,2847
1503960366,09/05/2016,12022,46,11,206,835,1819
1624580081,09/05/2016,1732,0,0,91,1349,1328
1644430081,09/05/2016,6643,32,6,303,1099,3008
1844505072,09/05/2016,0,0,0,0,1440,1347
1927972279,09/05/2016,0,0,0,0,1440,2063
2022484408,09/05/2016,13379,35,47,297,1061,2709
2026352035,09/05/2016,10685,0,0,401,543,1869
2320127002,09/05/2016,3090,0,0,145,1295,1630
2873212765,09/05/2016,7726,0,0,345,1095,1906
3977333714,09/05/2016,14687,8,122,151,1159,1667
4020332650,09/05/2016,4556,3,5,173,1225,2785
4319703577,09/05/2016,10378,2,14,374,490,2345
4388161847,09/05/2016,10218,6,19,258,1020,3013
4445114986,09/05/2016,5275,0,0,266,641,2281
4558609924,09/05/2016,11451,6,30,339,1065,2223
4702921684,09/05/2016,8232,0,12,253,746,2990
5553957443,09/05/2016,11611,59,22,251,667,2272
5577150313,09/05/2016,3421,34,11,70,1099,2489
6117666160,09/05/2016,4477,0,0,197,125,1248
6290855005,09/05/2016,6277,0,0,264,800,2175
6962181067,09/05/2016,12342,43,21,231,607,2105
7086361926,09/05/2016,13566,67,50,171,743,2960
8053475328,09/05/2016,12465,66,12,148,1214,2765
8378563200,09/05/2016,8382,71,13,171,772,3721
8583815059,09/05/2016,9877,66,4,110,1260,2947
8792009665,09/05/2016,0,0,0,0,1440,1688
8877689391,09/05/2016,20226,73,19,217,1131,3710
1503960366,10/05/2016,12207,46,31,214,746,1859
1624580081,10/05/2016,2969,0,0,139,1301,1393
1644430081,10/05/2016,9167,12,19,155,1254,2799
1844505072,10/05/2016,0,0,0,0,1440,1347
1927972279,10/05/2016,0,0,0,0,1440,2063
2022484408,10/05/2016,12798,57,28,271,1084,2797
2026352035,10/05/2016,254,0,0,17,1002,1141
2320127002,10/05/2016,6227,0,0,290,1150,1899
2873212765,10/05/2016,8275,0,0,373,1067,1962
3977333714,10/05/2016,13072,1,115,196,676,1630
4020332650,10/05/2016,5546,0,0,206,774,2926
4319703577,10/05/2016,9487,3,12,329,555,2260
4388161847,10/05/2016,10299,13,14,267,648,3061
4445114986,10/05/2016,3915,0,0,231,783,2181
4558609924,10/05/2016,6435,11,18,220,1191,1889
4702921684,10/05/2016,10613,1,37,262,701,3172
5553957443,10/05/2016,16358,61,40,265,707,2335
5577150313,10/05/2016,8869,104,37,194,639,3841
6290855005,10/05/2016,0,0,0,0,1440,0
6962181067,10/05/2016,15448,62,34,275,626,2361
7086361926,10/05/2016,14433,72,23,106,1182,2800
8053475328,10/05/2016,14810,96,10,115,1219,2926
8378563200,10/05/2016,6582,63,13,152,840,3586
8583815059,10/05/2016,8240,9,43,162,1226,2846
8792009665,10/05/2016,0,0,0,0,48,57
8877689391,10/05/2016,10733,18,11,224,1187,2832
1503960366,11/05/2016,12770,36,23,251,669,1783
1624580081,11/05/2016,3134,0,0,112,1328,1359
1644430081,11/05/2016,1329,0,0,49,713,1276
1844505072,11/05/2016,0,0,0,0,1440,1347
1927972279,11/05/2016,0,0,0,0,1440,2063
2022484408,11/05/2016,13272,58,25,224,1133,2544
2026352035,11/05/2016,8580,0,0,330,569,1698
2320127002,11/05/2016,6424,0,0,300,1140,1903
2873212765,11/05/2016,6440,0,0,319,1121,1826
3977333714,11/05/2016,746,4,0,9,13,52
4020332650,11/05/2016,3689,2,8,134,1296,2645
4319703577,11/05/2016,9129,3,18,311,574,2232
4388161847,11/05/2016,10201,8,18,256,858,2954
4445114986,11/05/2016,9105,34,22,232,622,2499
4558609924,11/05/2016,9108,4,31,324,1081,2131
4702921684,11/05/2016,9810,10,41,235,784,3069
5553957443,11/05/2016,4926,0,0,195,628,1693
5577150313,11/05/2016,4038,45,15,63,257,1665
6962181067,11/05/2016,6722,24,7,199,709,1855
7086361926,11/05/2016,9572,57,40,128,757,2735
8053475328,11/05/2016,12209,60,7,184,1189,2809
8378563200,11/05/2016,9143,72,10,184,763,3788
8583815059,11/05/2016,8701,5,71,177,1106,2804
8877689391,11/05/2016,21420,88,12,213,1127,3832
1503960366,12/04/2016,13162,25,13,328,728,1985
1624580081,12/04/2016,8163,0,0,146,1294,1432
1644430081,12/04/2016,10694,2,51,256,1131,3199
1844505072,12/04/2016,6697,0,0,339,1101,2030
1927972279,12/04/2016,678,0,0,55,734,2220
2022484408,12/04/2016,11875,42,14,227,1157,2390
2026352035,12/04/2016,4414,3,8,181,706,1459
2320127002,12/04/2016,10725,13,9,306,1112,2124
2347167796,12/04/2016,10113,28,13,320,964,2344
2873212765,12/04/2016,8796,2,21,356,1061,1982
3372868164,12/04/2016,4747,0,0,280,1160,1788
3977333714,12/04/2016,8856,44,19,131,777,1450
4020332650,12/04/2016,8539,4,15,331,712,3654
4057192912,12/04/2016,5394,0,0,164,1276,2286
4319703577,12/04/2016,7753,0,0,0,1440,2115
4388161847,12/04/2016,10122,0,0,0,1440,2955
4445114986,12/04/2016,3276,0,0,196,787,2113
4558609924,12/04/2016,5135,0,0,318,1122,1909
4702921684,12/04/2016,7213,0,0,263,718,2947
5553957443,12/04/2016,11596,19,13,277,767,2026
5577150313,12/04/2016,8135,86,16,140,728,3405
6117666160,12/04/2016,0,0,0,0,1440,1496
6290855005,12/04/2016,4562,0,0,199,1241,2560
6775888955,12/04/2016,0,0,0,0,1440,1841
6962181067,12/04/2016,10199,50,14,189,796,1994
7007744171,12/04/2016,14172,53,8,355,1024,2937
7086361926,12/04/2016,11317,59,6,153,745,2772
8053475328,12/04/2016,18060,116,8,123,1193,3186
8253242879,12/04/2016,9033,40,2,154,1244,2044
8378563200,12/04/2016,7626,65,15,156,723,3635
8583815059,12/04/2016,5014,0,7,196,1237,2650
8792009665,12/04/2016,2564,0,0,116,831,2044
8877689391,12/04/2016,23186,85,7,312,1036,3921
1503960366,12/05/2016,0,0,0,0,1440,0
1624580081,12/05/2016,2971,0,0,107,890,1002
1844505072,12/05/2016,0,0,0,0,711,665
1927972279,12/05/2016,0,0,0,0,966,1383
2022484408,12/05/2016,9117,16,16,236,728,1853
2026352035,12/05/2016,8891,0,0,343,330,1364
2320127002,12/05/2016,2661,0,0,128,830,1125
2873212765,12/05/2016,7566,0,0,268,720,1431
4020332650,12/05/2016,590,0,0,21,721,1120
4319703577,12/05/2016,17,0,0,2,0,257
4388161847,12/05/2016,3369,0,0,108,825,1623
4445114986,12/05/2016,768,0,0,58,380,1212
4558609924,12/05/2016,6307,0,0,247,736,1452
4702921684,12/05/2016,2752,0,0,68,241,1240
5553957443,12/05/2016,3121,8,6,48,222,741
6962181067,12/05/2016,3587,0,8,105,127,928
7086361926,12/05/2016,3789,5,4,58,343,1199
8053475328,12/05/2016,4998,28,4,39,839,1505
8378563200,12/05/2016,4561,8,6,102,433,1976
8583815059,12/05/2016,0,0,0,0,1440,0
8877689391,12/05/2016,8064,23,1,137,770,1849
1503960366,13/04/2016,10735,21,19,217,776,1797
1624580081,13/04/2016,7007,0,0,148,1292,1411
1644430081,13/04/2016,8001,30,16,135,1259,2902
1844505072,13/04/2016,4929,0,0,248,1192,1860
1927972279,13/04/2016,356,0,0,32,986,2151
2022484408,13/04/2016,12024,43,5,292,1100,2601
2026352035,13/04/2016,4993,0,0,238,663,1521
2320127002,13/04/2016,7275,0,0,335,1105,2003
2347167796,13/04/2016,10352,19,32,195,676,2038
2873212765,13/04/2016,7618,0,8,404,1028,2004
3372868164,13/04/2016,9715,16,8,371,1045,2093
3977333714,13/04/2016,10035,31,46,153,754,1495
4020332650,13/04/2016,0,0,0,0,1440,1981
4057192912,13/04/2016,5974,0,0,160,1280,2306
4319703577,13/04/2016,8204,8,15,96,1234,2135
4388161847,13/04/2016,10993,1,14,150,1275,3092
4445114986,13/04/2016,2961,0,0,194,840,2095
4558609924,13/04/2016,4978,19,7,127,1287,1722
4702921684,13/04/2016,6877,0,0,258,777,2898
5553957443,13/04/2016,4832,0,0,226,647,1718
5577150313,13/04/2016,5077,15,11,144,776,2551
6117666160,13/04/2016,0,0,0,0,1440,1496
6290855005,13/04/2016,7142,0,0,350,1090,2905
6775888955,13/04/2016,4053,17,18,85,1053,2400
6962181067,13/04/2016,5652,8,24,142,548,1718
7007744171,13/04/2016,12862,56,22,261,1101,2742
7086361926,13/04/2016,5813,31,26,155,744,2516
8053475328,13/04/2016,16433,95,12,156,1177,3140
8253242879,13/04/2016,8053,35,11,96,1298,1935
8378563200,13/04/2016,12386,116,14,169,680,4079
8583815059,13/04/2016,5571,2,23,163,1252,2654
8792009665,13/04/2016,1320,0,0,82,806,1934
8877689391,13/04/2016,15337,108,18,216,1098,3566
1503960366,14/04/2016,10460,30,11,181,1218,1776
1624580081,14/04/2016,9107,0,0,236,1204,1572
1644430081,14/04/2016,11037,5,58,252,1125,3226
1844505072,14/04/2016,7937,0,0,373,843,2130
1927972279,14/04/2016,2163,0,9,88,1292,2383
2022484408,14/04/2016,10690,32,3,257,1148,2312
2026352035,14/04/2016,3335,0,0,197,653,1431
2320127002,14/04/2016,3973,0,0,191,1249,1696
2347167796,14/04/2016,10129,1,48,206,705,2010
2873212765,14/04/2016,7910,0,0,331,1109,1893
3372868164,14/04/2016,8844,6,25,370,1039,2065
3977333714,14/04/2016,7641,5,23,214,801,1433
4020332650,14/04/2016,108,0,0,3,1437,2011
4057192912,14/04/2016,0,0,0,0,1440,1776
4319703577,14/04/2016,10210,1,9,339,589,2302
4388161847,14/04/2016,8863,10,35,219,945,2998
4445114986,14/04/2016,3974,0,0,231,717,2194
4558609924,14/04/2016,6799,0,0,279,1161,1922
4702921684,14/04/2016,7860,0,0,271,772,2984
5553957443,14/04/2016,17022,61,41,256,693,2324
5577150313,14/04/2016,8596,118,30,176,662,4022
6117666160,14/04/2016,0,0,0,0,1440,1496
6290855005,14/04/2016,7671,0,0,363,1077,2952
6775888955,14/04/2016,5162,14,24,105,863,2507
6962181067,14/04/2016,1551,0,0,86,862,1466
7007744171,14/04/2016,11179,34,6,304,1096,2668
7086361926,14/04/2016,9123,35,32,189,787,2734
8053475328,14/04/2016,20159,119,5,193,1123,3411
8253242879,14/04/2016,5234,29,16,33,1362,1705
8378563200,14/04/2016,13318,123,21,174,699,4163
8583815059,14/04/2016,3135,0,0,134,1306,2443
8792009665,14/04/2016,1219,0,0,84,853,1963
8877689391,14/04/2016,21129,68,13,298,1061,3793
1503960366,15/04/2016,9762,29,34,209,726,1745
1624580081,15/04/2016,1510,0,0,96,1344,1344
1644430081,15/04/2016,5263,3,4,170,1263,2750
1844505072,15/04/2016,3844,0,0,176,527,1725
1927972279,15/04/2016,980,0,0,51,941,2221
2022484408,15/04/2016,11034,27,9,282,1122,2525
2026352035,15/04/2016,3821,0,0,188,687,1444
2320127002,15/04/2016,5205,0,0,245,1195,1801
2347167796,15/04/2016,10465,1,24,284,720,2133
2873212765,15/04/2016,8482,0,0,448,992,2063
3372868164,15/04/2016,7451,0,0,335,1105,1908
3977333714,15/04/2016,9010,15,42,183,644,1468
4020332650,15/04/2016,1882,36,18,87,1299,2951
4057192912,15/04/2016,3984,3,6,88,873,1527
4319703577,15/04/2016,5664,0,0,228,752,1985
4388161847,15/04/2016,8758,0,0,299,837,3066
4445114986,15/04/2016,7198,0,0,350,711,2496
4558609924,15/04/2016,7795,17,30,262,1131,2121
4702921684,15/04/2016,6506,1,8,256,944,2896
5553957443,15/04/2016,16556,58,38,239,689,2254
5577150313,15/04/2016,12087,115,54,199,695,4005
6117666160,15/04/2016,14019,0,6,513,921,2865
6290855005,15/04/2016,9501,0,0,328,1112,2896
6775888955,15/04/2016,1282,0,0,58,976,2127
6962181067,15/04/2016,5563,0,0,217,837,1756
7007744171,15/04/2016,5273,0,0,202,1238,2098
7086361926,15/04/2016,8585,30,21,139,864,2395
8053475328,15/04/2016,20669,132,8,158,1142,3410
8253242879,15/04/2016,2672,0,0,105,1335,1632
8378563200,15/04/2016,14461,60,23,190,729,3666
8583815059,15/04/2016,3430,0,0,65,1375,2505
8792009665,15/04/2016,2483,0,0,126,937,2009
8877689391,15/04/2016,13422,106,1,281,1052,3934
1503960366,16/04/2016,12669,36,10,221,773,1863
1624580081,16/04/2016,5370,0,0,176,1264,1463
1644430081,16/04/2016,15300,51,42,212,1135,3493
1844505072,16/04/2016,3414,0,0,147,1293,1657
1927972279,16/04/2016,0,0,0,0,1440,2064
2022484408,16/04/2016,10100,41,11,151,1237,2177
2026352035,16/04/2016,2547,0,0,150,728,1373
2320127002,16/04/2016,5057,0,0,195,1245,1724
2347167796,16/04/2016,22244,66,72,268,968,2670
2873212765,16/04/2016,9685,47,1,305,1087,2148
3372868164,16/04/2016,6905,0,0,356,1084,1908
3977333714,16/04/2016,13459,31,83,153,663,1625
4020332650,16/04/2016,1982,65,21,55,1222,3051
4319703577,16/04/2016,4744,0,0,194,724,1884
4388161847,16/04/2016,6580,6,9,253,609,3073
4445114986,16/04/2016,3945,0,0,225,716,2180
4558609924,16/04/2016,7289,8,12,308,1112,1997
4702921684,16/04/2016,11140,3,24,335,556,3328
5553957443,16/04/2016,5771,0,0,288,521,1831
5577150313,16/04/2016,14269,184,56,158,472,4274
6117666160,16/04/2016,14450,7,15,518,502,2828
6290855005,16/04/2016,8301,0,0,258,1182,2783
6775888955,16/04/2016,4732,36,18,9,1377,2225
6962181067,16/04/2016,13217,50,3,280,741,2173
7007744171,16/04/2016,4631,0,0,203,1155,2076
7086361926,16/04/2016,31,0,0,3,1437,1635
8053475328,16/04/2016,14549,96,6,83,1255,2867
8253242879,16/04/2016,9256,6,51,115,1268,1880
8378563200,16/04/2016,11207,64,21,142,563,3363
8583815059,16/04/2016,5319,0,0,0,1440,2693
8792009665,16/04/2016,244,0,0,12,1428,1721
8877689391,16/04/2016,29326,94,29,429,888,4547
1503960366,17/04/2016,9705,38,20,164,539,1728
1624580081,17/04/2016,6175,15,22,127,1276,1554
1644430081,17/04/2016,8757,29,13,186,1212,3011
1844505072,17/04/2016,4525,2,8,199,1231,1793
1927972279,17/04/2016,0,0,0,0,1440,2063
2022484408,17/04/2016,15112,28,29,331,1052,2782
2026352035,17/04/2016,838,0,0,60,1053,1214
2320127002,17/04/2016,6198,0,0,249,1191,1852
2347167796,17/04/2016,5472,1,7,249,508,1882
2873212765,17/04/2016,2524,0,8,160,1272,1529
3372868164,17/04/2016,8199,11,2,322,1105,1964
3977333714,17/04/2016,10415,11,58,205,600,1529
4020332650,17/04/2016,16,0,0,2,1438,1990
4319703577,17/04/2016,29,0,0,3,1363,1464
4388161847,17/04/2016,4660,0,0,201,721,2572
4445114986,17/04/2016,2268,0,0,114,1219,1933
4558609924,17/04/2016,9634,7,19,304,1110,2117
4702921684,17/04/2016,12692,12,66,302,437,3394
5553957443,17/04/2016,655,0,0,46,943,1397
5577150313,17/04/2016,12231,200,37,159,525,4552
6117666160,17/04/2016,7150,0,0,312,702,2225
6290855005,17/04/2016,7851,31,12,225,1172,3171
6775888955,17/04/2016,2497,5,24,19,1392,2067
6962181067,17/04/2016,10145,5,13,295,634,2027
7007744171,17/04/2016,8059,0,0,305,1135,2383
7086361926,17/04/2016,0,0,0,0,1440,1629
8053475328,17/04/2016,18827,111,21,195,1113,3213
8253242879,17/04/2016,10204,41,5,157,1237,2112
8378563200,17/04/2016,2132,0,0,93,599,2572
8583815059,17/04/2016,3008,0,0,0,1440,2439
8792009665,17/04/2016,0,0,0,0,1440,1688
8877689391,17/04/2016,15118,58,15,307,1060,3545
